Angular Position, Run #3
Time ( s )	Angular Position ( rad )
9,7200	-0,265
9,7400	-0,295
9,7600	-0,325
9,7800	-0,353
9,8000	-0,380
9,8200	-0,404
9,8400	-0,426
9,8600	-0,446
9,8800	-0,463
9,9000	-0,481
9,9200	-0,493
9,9400	-0,503
9,9600	-0,511
9,9800	-0,517
10,0000	-0,518
10,0200	-0,518
10,0400	-0,517
10,0600	-0,511
10,0800	-0,503
10,1000	-0,493
10,1200	-0,481
10,1400	-0,465
10,1600	-0,449
10,1800	-0,430
10,2000	-0,408
10,2200	-0,386
10,2400	-0,361
10,2600	-0,335
10,2800	-0,306
10,3000	-0,278
10,3200	-0,248
10,3400	-0,217
10,3600	-0,185
10,3800	-0,152
10,4000	-0,119
10,4200	-0,086
10,4400	-0,053
10,4600	-0,020
10,4800	0,013
10,5000	0,044
