t	Temperature 
t/s	T/°C

2565,000	24,1
2570,000	23,9
2575,000	23,8
2580,000	23,7
2585,000	23,6
2590,000	23,5
2595,000	23,4
2600,000	23,3
2605,000	23,2
2610,000	23,2
2615,000	23,1
2620,000	23,0
2625,000	22,9
2630,000	22,8
2635,000	22,7
2640,000	22,6
2645,000	22,5
2650,000	22,5
2655,000	22,4
2660,000	22,3
2665,000	22,3
2670,000	22,2
2675,000	22,2
2680,000	22,1
2685,000	22,1
2690,000	22,0
2695,000	21,9
2700,000	21,8
2705,000	21,8
2710,000	21,8
2715,000	21,7
2720,000	21,7
2725,000	21,7
2730,000	21,6
2735,000	21,6
2740,000	21,5
2745,000	21,4
2750,000	21,4
2755,000	21,4
2760,000	21,3
2765,000	21,3
2770,000	21,2
2775,000	21,2
2780,000	21,1
2785,000	21,1
2790,000	21,1
2795,000	21,1
2800,000	21,0
2805,000	21,0
2810,000	21,0
2815,000	21,0
2820,000	21,0
2825,000	21,0
2830,000	21,0
2835,000	20,9
2840,000	20,9
2845,000	20,9
2850,000	20,8
2855,000	20,8
2860,000	20,8
2865,000	20,8
2870,000	20,8
2875,000	20,8
2880,000	20,7
2885,000	20,7
2890,000	20,7
2895,000	20,7
2900,000	20,7
2905,000	20,7
2910,000	20,7
2915,000	20,7
2920,000	20,7
2925,000	20,7
2930,000	20,6
2935,000	20,6
2940,000	20,6
2945,000	20,6
2950,000	20,6
2955,000	20,6
2960,000	20,6
2965,000	20,6
2970,000	20,6
2975,000	20,6
2980,000	20,6
2985,000	20,6
2990,000	20,6
2995,000	20,6
3000,000	20,6
3005,000	20,5
3010,000	20,6
3015,000	20,5
3020,000	20,5
3025,000	20,5
3030,000	20,5
3035,000	20,5
3040,000	20,5
3045,000	20,5
3050,000	20,5
3055,000	20,5
3060,000	20,5
3065,000	20,5
3070,000	20,5
3075,000	20,5
3080,000	20,5
3085,000	20,5
3090,000	20,5
3095,000	20,5
3100,000	20,5
3105,000	20,5
3110,000	20,5
3115,000	20,5
3120,000	20,5
3125,000	20,5
3130,000	20,5
3135,000	20,5
3140,000	20,5
3145,000	20,5
3150,000	20,5
3155,000	20,5
3160,000	20,5
3165,000	20,5
3170,000	20,5
3175,000	20,5
3180,000	20,5
3185,000	20,5
3190,000	20,5
3195,000	20,5
3200,000	20,4
3205,000	20,5
3210,000	20,5
3215,000	20,5
3220,000	20,5
3225,000	20,5
3230,000	20,4
3235,000	20,4
3240,000	20,5
3245,000	20,4
3250,000	20,5
3255,000	20,4
3260,000	20,4
3265,000	20,4
3270,000	20,3
3275,000	20,4
3280,000	20,4
3285,000	20,3
3290,000	20,3
3295,000	20,3
3300,000	20,3
3305,000	20,2
3310,000	20,2
3315,000	20,2
3320,000	20,2
3325,000	20,2
3330,000	20,2
3335,000	20,2
3340,000	20,2
3345,000	20,1
3350,000	12,1
3355,000	6,0
3360,000	4,4
3365,000	2,7
3370,000	2,0
3375,000	1,6
3380,000	1,5
3385,000	1,4
3390,000	1,3
3395,000	1,3
3400,000	1,2
3405,000	1,1
3410,000	1,1
3415,000	1,1
3420,000	1,0
3425,000	1,0
3430,000	1,0
3435,000	1,0
3440,000	1,0
3445,000	1,0
3450,000	0,9
3455,000	0,9
3460,000	0,9
3465,000	0,9
3470,000	0,8
3475,000	0,8
3480,000	0,7
3485,000	0,7
3490,000	0,7
3495,000	0,7
3500,000	0,7
3505,000	0,7
3510,000	0,7
3515,000	0,7
3520,000	0,8
3525,000	0,7
3530,000	0,8
3535,000	0,7
3540,000	0,8
3545,000	0,8
3550,000	0,8
3555,000	0,8
3560,000	0,7
3565,000	0,8
3570,000	0,8
3575,000	1,1
3580,000	2,2
3585,000	3,3
3590,000	4,4
3595,000	5,2
3600,000	5,9
3605,000	6,4
3610,000	6,9
3615,000	7,3
3620,000	7,7
3625,000	8,1
3630,000	8,4
3635,000	8,7
3640,000	9,0
3645,000	9,3
3650,000	9,5
3655,000	9,8
3660,000	9,9
3665,000	10,2
3670,000	10,4
3675,000	10,6
3680,000	10,7
3685,000	10,9
3690,000	11,0
3695,000	11,1
3700,000	11,3
3705,000	11,4
3710,000	11,5
3715,000	11,6
3720,000	11,7
3725,000	11,7
3730,000	11,8
3735,000	11,9
3740,000	12,0
3745,000	12,2
3750,000	12,3
3755,000	12,4
3760,000	6,0
3765,000	2,5
3770,000	1,4
3775,000	1,0
3780,000	0,8
3785,000	0,7
3790,000	0,7
3795,000	0,6
3800,000	0,6
3805,000	0,6
3810,000	0,7
3815,000	0,6
3820,000	0,7
3825,000	1,1
3830,000	1,8
3835,000	2,5
3840,000	3,1
3845,000	3,7
3850,000	4,2
3855,000	4,8
3860,000	5,4
3865,000	5,9
3870,000	6,3
3875,000	6,7
3880,000	7,1
3885,000	7,5
3890,000	7,8
3895,000	8,2
3900,000	8,5
3905,000	8,8
